Time,BS_ID,BS_STATUS,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_MID,UE_LOC_X,UE_LOC_Y,MAX_DR (bits),DEMAND_DR (bits),REAL_DR (bits),BS_Trans_PWR (W),UE_Rec_PWR (W),RSRP (dBm),RSSI (dBm),RSRQ (dB),DDR (%), SNR, AVTH, RET, DIST, DIST95
9,0,3,0,0,0,0,99,0.25,0.387,54.26,0,2,3.92697,3.125,148,8,8,2.89858e-12,2.41549e-12,-86.17,-55.3781,-10.7918,0,2.60156,0.68,1,5.01864,1
9,0,3,0,0,0,0,98,0.25,-0.387,57.08,1,1,4.48102,0.399587,154,34,29,3.83589e-12,3.19658e-12,-84.9531,-54.1613,-10.7918,14.7059,3.81836,0.02,1,4.4988,0
9,0,3,0,0,0,0,97,0.25,0.37926,54.68,2,2,1.19507,0.108709,160,158,147,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,6.96203,11.1481,0.09,1,1.2,0
9,0,3,0,0,0,0,96,0.25,-0.37926,34.51,3,0,1.88824,0.809241,160,121,121,1.47361e-11,1.22801e-11,-79.108,-48.3162,-10.7918,0,9.66354,0.57,1,2.05434,0
9,0,3,0,0,0,0,95,0.25,0.37152,58.49,4,0,5.76978,-6.06305,121,88,88,7.28093e-13,6.06744e-13,-92.1699,-61.3781,-10.7918,0,-3.39843,0.58,1,8.36964,1
9,0,3,0,0,0,0,94,0.25,-0.37152,44.63,5,2,1.00458,0.656362,160,2,2,2.07417e-11,1.72848e-11,-77.6234,-46.8316,-10.7918,0,11.1481,0.06,1,1.2,0
9,0,3,0,0,0,0,93,0.25,0.36378,46.92,6,0,4.43069,-4.67596,137,23,18,1.46834e-12,1.22362e-12,-89.1235,-58.3317,-10.7918,21.7391,-0.352021,0.27,1,6.44171,1
9,0,3,0,0,0,0,92,0.25,-0.36378,41.17,7,1,4.94873,7.15963,118,81,77,6.59954e-13,5.49962e-13,-92.5967,-61.8049,-10.7918,4.93827,-3.82516,0.71,1,8.70346,1
9,0,3,0,0,0,0,91,0.25,0.35604,54.23,8,1,1.7888,3.07385,159,13,13,6.54283e-12,5.45236e-12,-82.6342,-51.8423,-10.7918,0,6.13735,0.36,1,3.55645,0
9,0,3,0,0,0,0,90,0.25,-0.35604,52.22,9,0,3.80347,-4.08032,144,25,25,2.18248e-12,1.81873e-12,-87.4023,-56.6105,-10.7918,0,1.3692,0.17,1,5.57812,1
9,0,3,0,0,0,0,89,0.25,0.3483,52.19,10,2,7.801,-0.86086,125,99,90,8.59767e-13,7.16473e-13,-91.448,-60.6562,-10.7918,9.09091,-2.67649,0.13,1,7.84836,1
9,0,3,0,0,0,0,88,0.25,-0.3483,49.12,11,1,5.4911,-1.66356,143,2,2,2.02056e-12,1.6838e-12,-87.7371,-56.9453,-10.7918,0,1.03442,0.01,1,5.73756,1
9,0,3,0,0,0,0,87,0.25,0.34056,48.55,12,2,6.87182,1.10366,132,87,87,1.18702e-12,9.89184e-13,-90.0472,-59.2554,-10.7918,0,-1.27572,0.24,1,6.95989,1
9,0,3,0,0,0,0,86,0.25,-0.34056,48.21,13,2,2.32193,0.695334,160,74,74,1.22671e-11,1.02226e-11,-79.9044,-49.1126,-10.7918,0,8.86711,0.6,1,2.42381,0
9,0,3,0,0,0,0,85,0.25,0.33282,58.05,14,0,2.98331,2.90137,156,44,44,4.63152e-12,3.8596e-12,-84.1346,-53.3428,-10.7918,0,4.63693,0.39,1,4.1615,0
9,0,3,0,0,0,0,84,0.25,-0.33282,37.13,15,2,5.96343,7.11867,114,21,21,5.63803e-13,4.69835e-13,-93.2805,-62.4887,-10.7918,0,-4.50903,0.76,1,9.28644,1
9,0,3,0,0,0,0,83,0.25,0.32508,56.57,16,1,8.32634,2.12592,119,14,14,6.81211e-13,5.67676e-13,-92.459,-61.6672,-10.7918,0,-3.68749,0.3,1,8.59345,1
9,0,3,0,0,0,0,82,0.25,-0.32508,57.62,17,1,6.82659,4.19333,123,63,63,8.14726e-13,6.78939e-13,-91.6817,-60.8899,-10.7918,0,-2.91018,0.13,1,8.01164,1
